||Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone
Indian Overseas Bank|64191|1210734.10|1310963.90|115623.80|108554.20|16.10||1248923.15|78301.10||358.30|16918.90||133794.90|123069.50|10.20||1537725.40|26325.30||231.80|16762.20||13960.10|11617.60|220.00|11915.60||12963.00|12408.90|554.10|10742.60|0.00|14699.90|13721.30|14.60|12201.40|0.00|16080.70|14736.80|0.00|13612.90|0.00|19358.40|17453.70|0.00|16460.80|0.00|19077.90|18462.10|0.00|16393.00|0.00|21047.70|19303.10|0.00|17850.70|0.00|22953.50|20758.90|0.00|19871.70|0.00|24679.50|20566.70|0.00|21620.00|0.00|22473.60|21605.30|605.30|19913.90|0.00|27104.80|24270.20|672.20|23514.60|0.00|32049.00|25983.50|0.00|28164.60|0.00|31350.30|25115.10|8.20|28126.60|0.00|28252.50|25778.50|167.40|25234.70|0.00|29223.40|25499.50|0.00|27463.00|821.70|28286.50|25701.30|0.00|27269.50|0.00|29614.90|25478.30|1316.90|28340.50||28823.80|26675.20|0.00|26819.40|821.70|30747.30|28001.90||28685.80||34528.60|31016.40||32212.00||39165.80|35321.10||34822.80|
Indraprastha Gas Ltd.|52109|12940.10|16264.50|12437.50|10283.00||1.60|14602.30|3177.70||16.30|6514.30|14.00|19764.00|17174.00||0.20|20103.40|4097.90||18.00|11594.50|13.10|1384.10|1357.00|0.00|1088.60|2.30|1379.30|1357.70|0.00|1103.30|0.00|1564.50|1541.60|0.00|1216.60|0.00|1622.70|1598.70|0.00|1267.90|0.00|1676.50|1643.00|0.00|1275.90|0.00|1657.50|1617.50|0.00|1273.40|0.00|1788.40|1747.50|0.00|1359.90|0.00|1885.30|1843.50|0.00|1435.10|0.00|1963.00|1914.60|0.00|1481.30|0.00|1969.90|1916.20|0.00|1533.30|0.00|2220.70|2166.80|0.00|1718.90|0.00|2260.80|2203.70|0.00|1877.80|0.00|2338.50|2284.50|0.00|1935.70|0.00|2389.20|2339.20|0.00|1906.80|0.00|2781.40|2738.50|0.00|2214.10|0.00|2899.10|2863.10|0.00|2313.10|0.00|2922.60|2897.60|0.00|2404.00|0.00|3368.70|3357.80|0.00|2799.90|0.00|4473.30|4467.90|0.00|3810.60|0.00|4577.70|4571.00|0.00|3906.70|0.00|5115.90|5108.00|0.00|4428.40|0.00
Indusind Bank Ltd.|64191|276762.10|354300.40|32947.60|29444.50||340.00|313194.95|24037.00||62.60|6269.90||43058.80|37285.50||28.60|403318.25|37657.00||164.80|5720.60||3509.90|3146.40|0.00|4133.90|0.00|3800.90|3338.20|0.00|3720.80|0.00|4191.70|3606.00|0.00|4019.90|0.00|4617.90|3793.20|0.00|4401.60|0.00|4833.40|4265.20|0.00|4619.40|0.00|4956.00|4318.40||4823.80||5254.70|4513.70||5031.30||5661.30|4918.20||5410.90||5910.40|5156.00||5765.90||5832.30|5183.20||5641.30||6388.20|5498.70|0.00|6051.60|0.00|7605.50|6274.80||7154.90||7831.20|6138.00||7326.00||8015.80|6288.30||7150.80||7873.80|6550.30||7095.60||8189.40|7029.20||7309.00||8525.70|7202.10||7546.10||9325.00|7715.40||8139.50||10292.00|8540.80||8960.50||11108.60|9149.10||9570.00||12304.70|10488.40||10587.10|
Infosys Ltd.|62013|212560.00|261660.00|224260.00|166230.00|||237110.00|56270.00|4370.00|30.00|37790.00|0.00|265320.00|200890.00|||276395.00|37460.00|5210.00|60.00|40560.00|0.00|25640.00|24930.00|90.00|19000.00|0.00|30020.00|28670.00|10.00|21970.00|30.00|33390.00|32730.00|0.00|24430.00|0.00|35330.00|34540.00|65.00|25750.00|0.00|38030.00|35550.00|1250.00|26790.00|0.00|38570.00|35510.00|570.00|28290.00|0.00|40080.00|38620.00|0.00|29340.00|0.00|41700.00|39990.00|0.00|29840.00|0.00|44350.00|42350.00|200.00|32530.00|0.00|47380.00|45160.00|310.00|34760.00|0.00|52530.00|50660.00|0.00|38630.00|0.00|56700.00|54290.00|0.00|40720.00|20.00|55100.00|52530.00|0.00|39410.00|0.00|53690.00|51040.00|0.00|39050.00|0.00|54330.00|52010.00|0.00|39950.00|0.00|55580.00|53350.00|0.00|40870.00|10.00|57790.00|55000.00|100.00|43490.00|0.00|60080.00|57580.00|0.00|45770.00|0.00|66730.00|64250.00|0.00|50320.00|0.00|68090.00|65340.00|0.00|51680.00|0.00|70550.00|66680.00|0.00|53250.00|0.00
J S W Holdings Ltd.|64191|6205.80|6248.10|70.40|26.60|||6226.95|-79.20||0.20|0.00||265.60|58.60|||6340.80|-231.20||0.20|0.00||4.80|4.80||2.80|0.10|3.30|3.30||2.50|0.10|147.00|147.00||2.90||26.80|9.20|17.60|4.40||232.60|232.60||6.20||13.40|13.40||6.10||15.20|15.20||6.10||14.20|14.20||6.50||15.00|15.00||5.70||267.60|267.60||8.50||27.70|27.70||10.40||89.30|89.30||19.30||24.20|24.20||7.10||12.00|12.00||7.40||33.40|33.40||10.70||12.00|12.00||3.20||12.90|12.90||5.20||182.40|182.40||22.70||19.40|19.40||5.50||20.30|20.30||5.60||25.90|18.60|7.30|7.20|
J S W Ispat Steel Ltd. [Merged]|24105|143915.10|140825.90|117797.00|123692.40|2571.10|60.10|132188.60|12195.00||21.40|79273.50||94455.70|113445.20|2240.50|26.40|128701.15|-8029.30||30.90|72451.40||13010.10|12906.90||14559.70||16804.10|16686.70||17741.20||18912.50|18827.90||18781.50||18795.60|18273.50||19471.00||21436.50|21052.60||20352.30||19386.30|18133.40||19877.90||22020.00|20436.30||21400.20||21976.20|21805.60||21330.80||26137.20|26137.20||24980.90||28757.80|28757.80||29461.90||32231.90|32231.70||33728.70||13173.50|11235.50||17200.70|4411.70|14533.60|13155.60||14325.50|166.80|14018.50|13996.80||16857.10||20491.80|20486.40|5.40|21809.80||22159.50|22159.50||21728.50||24833.30|23810.60|1022.70|24634.40||24279.80|23705.40|574.40|26376.40|0.00|21845.80|21845.80|0.00|23933.20|0.00|9783.70|9783.70|0.00|13370.20|0.00|27644.60|26482.00|702.80|29677.90|0.00
J S W Steel Ltd.|24105|284465.10|309978.20|200275.80|180695.80|39.80|6.60|297221.65|32998.40|59.40||168661.40|147.20|255691.40|243058.40||9.80|363110.75|20088.40|72.40||211021.50|130.60|19724.30|15930.20|0.00|15156.20|155.80|15979.60|15963.30|0.00|15736.50|151.00|22050.20|21966.30|0.00|18485.90|398.80|23173.40|22910.00|0.00|19299.80|270.00|25792.70|24869.20|0.00|19888.30|270.40|25342.50|23854.40|0.00|21557.60|0.00|28327.70|26449.10|0.00|23787.20|0.00|28389.80|28227.40|0.00|26124.50|0.00|35699.90|35682.00|0.00|31756.60|0.00|36987.90|36938.30|0.00|39245.20|0.00|43117.70|43090.50|0.00|44615.10|0.00|28907.60|28267.40|632.20|28993.20|0.00|34439.30|32802.20|0.00|28919.60|0.00|41582.30|39168.00|0.00|38698.10|0.00|45792.80|45190.30|0.00|41724.30|0.00|47160.50|46129.90|0.00|41659.00|0.00|53007.20|52049.70|0.00|45531.20|0.00|46802.40|46415.40|0.00|52020.50|0.00|59392.80|57759.00|0.00|51650.20|0.00|58154.40|58075.50|0.00|53018.30|0.00|71642.40|71034.50|0.00|66026.10|0.00
Jain Irrigation Systems Ltd.|22209|31930.00|41847.10|28861.20|27212.60|9.20|17.60|36888.55|4211.30|48.50||12026.20|143.90|35045.20|34566.10|8.80||47883.05|2037.10|102.90|112.30|14952.50|141.60|3493.60|3299.70|40.80|2936.30|0.00|2312.60|2299.50||2801.70||2287.90|2263.40||2421.00||3131.40|3023.10||2599.20||4706.60|4498.60||3997.60||3376.60|3254.10|0.00|3959.30|13.90|3372.90|3305.40|0.00|3804.90|0.00|4147.90|4146.10|0.00|3391.10|0.00|6088.20|6084.60|0.00|5462.70|0.00|4761.00|4759.40||5683.80||4759.90|4758.90||4378.50||5377.00|5376.90||4014.00||7013.20|6982.00||6650.50||5936.50|5730.30||6783.50||5661.90|5625.10||5995.90||6542.00|6410.30||5606.00||9974.30|9585.60||8070.60||7259.20|7256.60||9320.50||6633.10|6410.60||5750.10||7437.20|7361.10||8515.20||12458.40|12214.50|147.80|10489.90|53.00
Jaiprakash Associates Ltd.|34|255624.70|333215.10|120840.80|102886.60||9.80|291363.75|-383.90|||106186.80|441.70|144214.80|136770.70||17.90|352492.75|12200.40|||119568.80|425.80|9160.00|8580.00|0.00|8270.00|0.00|9240.00|8950.00||8460.00||8080.00|7760.00||7330.00||9310.00|9020.00||8740.00||9160.00|8860.00||7800.00||10045.90|9424.60|0.00|8046.00|0.00|9222.00|8624.60|0.00|8626.40|0.00|10015.70|9428.80|0.00|8704.70|0.00|13452.80|13452.80|0.00|11882.40|0.00|11946.80|11944.30|0.00|10324.50|0.00|13023.00|12399.30|35.40|11525.10|0.00|14840.10|14168.20|7.10|13112.60|0.00|21945.70|21516.70|0.00|18726.50|0.00|24915.80|21168.60|1.30|18612.20|0.00|28562.70|18888.50|20.00|20628.50|2.20|29686.60|29638.30|9.80|26708.60|2119.40|33583.80|33465.00|0.00|32885.00|15.90|37309.40|32144.70|0.00|31819.50|6.80|30779.50|30712.20|27.40|30788.40|0.00|29525.50|29486.50|0.00|27784.60|8.80|40872.60|39483.50|140.90|37896.40|3.40
Jaiprakash Power Ventures Ltd.|35101|20149.40|91250.90|7276.00|4760.50|||55700.15|6023.30||44.60|40662.60|9628.10|8518.90|6867.80|0.10||137529.90|10395.80||17.20|30741.40|0.00|1340.10|295.30|1034.30|488.70|71.50|876.60|873.10|0.00|483.80|0.00|1140.80|1138.40|0.00|519.70|0.00|502.80|495.10|0.00|444.80|0.00|1585.00|784.20|540.00|562.80|55.20|1008.20|939.90|0.00|504.30|0.00|1797.60|1184.00|539.30|525.50|0.00|509.30|509.30|0.00|439.90|0.00|716.30|649.10|67.20|427.70|0.00|1018.40|1018.40|0.00|472.40|0.00|1155.50|1082.90|0.00|487.00|0.00|822.40|618.70|203.70|382.40|0.00|608.10|608.10|0.00|863.30|495.60|825.90|825.90|0.00|460.50|0.00|1141.50|1141.50|0.00|517.40|0.00|1190.30|1190.30|0.00|1021.70|0.00|1844.70|1844.70|0.00|1238.80|2.70|2078.80|2078.80|0.00|1694.30|100.20|2825.50|2825.50|0.00|1955.70|0.00|1813.00|1813.00|0.00|1585.30|0.00|1690.10|1480.40|0.00|1520.90|1.90
Jet Airways (India) Ltd.|51101|234607.30|210123.30|107722.50|112398.90||0.20|203978.95|16514.10|||144299.20|1890.70|133182.30|133085.40|||195485.05|13186.40|||136158.10|1712.40|19501.90|16059.30|0.00|17230.70|0.00|16551.90|16229.70|0.00|17001.70|0.00|17873.30|15811.40|1616.90|18424.60|0.00|19696.90|18754.10|482.60|19296.50|0.00|19937.10|19782.70|46.80|19057.00|0.00|19832.00|18066.70|0.00|19523.20|0.00|22541.10|18185.50|0.00|22257.50|0.00|25564.40|24259.80|392.60|26475.60|0.00|29494.80|27599.00|1530.10|31706.60|694.50|38150.20|28671.60|9158.70|36716.40|0.00|34537.70|30080.80|3072.30|38383.00|0.00|31325.50|30228.30|355.70|33467.30|0.00|29161.40|24656.50|3939.70|28631.50|0.00|24540.20|23981.50|0.00|26793.50|0.00|23809.70|23441.80|0.00|27876.60|0.00|29746.70|28967.60|0.00|28688.70|0.00|29181.80|27778.70|0.00|28596.00|0.00|31208.40|29650.10|539.30|31173.20|0.00|31406.40|30676.20|0.00|31282.40|0.00|35401.20|34733.80|0.00|34218.90|0.00|34339.90|32434.70|1004.60|35584.50|32.20
Jindal Saw Ltd.|24311|55167.50|55366.50|70728.30|61217.60|1.90|0.90|55199.45|18104.80||15.90|18665.40|2.00|45613.80|41178.50|0.30|5.00|61931.40|-8162.90||23.50|19255.30|72.20|9550.40|9531.90|0.00|9682.20|0.00|9620.70|9592.70|0.00|10528.90|0.00|11403.00|11234.00|0.00|10825.30|0.90|11936.20|11928.30|0.00|12062.90|0.00|12722.70|12691.00|0.00|11098.20|0.00|12869.90|12855.30|0.00|11480.80|0.00|14305.30|14286.10|0.00|14920.70|0.00|20772.20|16116.90|4637.80|12729.60|0.00|9550.60|9532.90|0.00|10053.90|0.00|10195.70|10181.60|0.00|9696.20|0.00|14886.80|14864.10|0.00|14990.50|0.00|15501.00|15488.20|0.00|13938.40|0.00|14658.00|14653.50|0.00|13350.90|0.00|15016.60|15011.10|0.00|13623.00|0.00|13739.20|13728.50|0.00|10362.30|0.00|13748.50|13735.30|0.00|10090.00|0.00|10908.60|10862.70|0.00|10737.80|0.00|11450.00|11393.00|0.00|8466.00|0.00|8112.50|8022.80|0.00|9549.10|0.00|10700.30|10659.10|0.00|9671.90|0.00|11701.30|11630.90|0.00|10358.30|0.00
Jindal Steel & Power Ltd.|24105|144923.30|201768.30|81482.50|67086.30|1.20|24.90|173345.80|19559.10|32.10||67040.60|60.00|107816.20|90811.00|21.30|24.00|233339.40|13954.10|58.00||100004.20|195.40|6804.80|6735.20|0.00|5879.70|0.00|6694.00|6661.90|0.00|5827.10|0.00|7929.00|7896.40|0.00|6343.80|0.00|10124.30|10100.60|0.00|7778.40|0.00|10740.50|10539.20|0.00|9110.00|0.00|12327.30|12231.30|0.00|9782.00|0.00|12719.40|12690.40|0.00|9889.50|0.00|14074.10|13956.10|0.00|11113.60|0.00|15477.90|15229.70|0.00|13046.70|0.00|19027.40|18953.10|0.00|16207.00|0.00|22310.80|22161.20|0.00|17000.20|0.00|17914.60|17810.70|0.00|15119.10|0.00|18741.50|17700.60|0.00|15302.20|0.00|15926.60|15880.70|0.00|12779.70|0.00|16187.00|16102.50|0.00|13704.30|0.00|17863.30|17804.40|0.00|16194.00|0.00|24931.30|23947.50|0.00|17632.50|0.00|21278.00|21216.00|0.00|18425.10|0.00|23056.10|22996.10|0.00|18600.90|0.00|24185.30|24102.30|0.00|20094.50|0.00|28654.00|27421.90|0.00|22746.10|0.00
K S Oils Ltd.|10402|24173.20|37920.70|41022.30|38812.90|||31046.95|-3732.00||248.50|10620.00|7.80|56417.60|60746.10|5.20||41353.30|-6327.20||128.10|10647.80|5.30|2140.30|2138.30|0.00|2244.60|0.00|2166.00|2164.80|0.00|1844.80|0.00|2256.00|2254.20|0.00|1885.70|0.00|3051.50|3051.50|0.00|3267.70|0.00|2935.90|2934.20|0.00|2600.60|0.00|3649.60|3635.80|0.00|3578.30|0.00|4410.40|4399.20|0.00|4835.00|0.00|5653.90|5638.30|0.00|5713.50|0.00|6831.20|6745.80|29.40|5870.00|0.00|6961.30|6929.00|0.00|6849.30|0.00|7364.70|7340.50|0.00|7231.80|0.00|8358.60|8338.50|0.00|7657.90|0.00|9042.20|8988.90|32.20|10430.40|0.00|9231.40|9070.10|0.00|9664.70|0.00|9498.10|9466.70|0.00|10196.10|0.00|11416.90|11328.70|38.50|9594.00|0.00|10802.50|10789.00|0.00|9773.60|0.00|10324.10|10302.80|0.00|9873.50|0.00|10432.30|10418.30|0.00|10517.60|0.00|13392.00|13364.50|0.00|14777.30|0.00|12744.50|12709.40|0.00|10983.20|0.00
Karnataka Bank Ltd.|64191|228828.10|270682.20|23729.10|22057.90|2.10||249755.15|12465.40||31.80|1480.70||26625.90|24579.80|7.20|336.80|293806.15|9709.80||29.00|1455.20||3080.70|2708.80||2570.60||3306.30|2857.50|0.00|2938.50|0.00|3603.30|2953.10|163.20|3007.20|0.00|3617.00|3219.90|0.00|3078.20|0.00|3941.80|3532.00|0.00|3674.20|0.00|4036.70|3618.90|0.00|3518.80|0.00|4482.80|3827.60|86.00|3881.40|0.00|4793.70|4054.60|0.00|4103.40|0.00|4867.10|4181.20|115.30|4259.30|0.00|5155.00|4629.90|77.70|4948.00|0.00|5155.90|4606.90|17.40|4419.90|0.00|6533.30|5123.10|461.60|5640.70|0.00|6418.00|5127.70|0.00|5586.60|0.00|6096.70|4772.80|0.00|5696.10|0.00|5628.80|4943.70|149.70|5465.30|0.00|6208.90|5276.20|310.80|5842.80|0.00|6231.20|5335.60|158.30|5490.20||6133.00|5379.40|0.00|5668.20|0.00|6462.60|5691.70|108.20|6175.40|0.00|6684.50|6006.60|0.00|6298.60|0.00|7506.90|6630.70|52.80|6598.70|
Kingfisher Airlines Ltd.|51101|74447.80|80069.50|53618.20|71063.10|25.00|3576.50|77258.65|-17016.50||1524.80|15545.20|240.30|65000.90|75274.90||918.00|83126.70|-160.50||1453.70|15718.70|201.20||||||4302.00|3979.90|0.50|5404.60|0.00|5360.80|3587.00|0.00|5790.20|0.00|6368.20|4748.90|0.00|6271.80|0.00|4574.50|4439.90|0.00|6706.20|0.00|5140.20|5031.40|0.00|6871.10|0.00|4656.40|4452.10|0.00|7188.20|0.00|5772.90|5676.30|0.00|7681.50|0.00|6076.60|5823.20|0.00|8073.10|0.00|14046.40|13976.60|0.00|15625.10|0.00|13577.30|13226.40|0.00|18409.80|0.00|14521.10|14478.30|0.00|18655.00|300.00|13328.00|10708.50|0.00|24179.40|2075.40|13990.70|12726.40|0.00|16361.50|147.20|11780.40|11127.00|0.00|15968.20|191.30|13266.20|12953.40|0.00|17465.80|1007.40|13733.80|14092.00|60.60|19447.80|2230.60|16847.60|16405.80|0.00|18721.10|44.20|15156.50|14337.10|0.00|17464.70|15.10|16759.90|16587.00|0.00|19296.80|191.90|16592.60|16266.40|0.00|20148.00|661.30
Kotak Mahindra Bank Ltd.|64191|287118.60|374363.20|39588.40|33957.20||29.40|330740.90|57450.60||192.90|4276.50|288.40|50452.70|42270.90|0.20||441434.90|-17791.00||440.00|4256.00|234.70|2934.50|2169.70|0.00|2587.20|0.00|3065.20|2501.40|0.00|2826.10|0.00|3576.30|2952.20|0.00|3228.30|0.00|4525.40|3571.10|0.00|4071.40|0.00|5210.70|4245.40|0.00|4838.10|0.00|5944.40|4972.20|0.00|5467.60|0.00|7141.60|5918.10|0.00|6387.80|0.00|8871.90|6826.50|0.00|7855.20|0.00|8030.20|7636.70|0.00|7338.10|0.00|7956.00|7124.70|0.00|7410.70|0.00|8067.70|7461.30|0.00|7589.00|0.00|9125.40|8035.10|0.00|8414.10|0.00|9197.10|8030.20|0.00|8171.40|0.00|8939.30|7673.00|0.00|8036.20|0.00|8888.40|7751.50|0.00|7629.30|0.00|9688.30|8324.10|0.00|8264.50|0.00|11322.50|8807.50|0.00|9297.50|0.00|10600.40|8974.20|0.00|8731.40|0.00|11602.90|9895.80|0.00|9655.90|0.00|13044.10|11048.50|0.00|11165.40|0.00|14527.20|11979.10|71.70|12040.20|0.00
L I C Housing Finance Ltd.|64192|291448.30|400280.40|36495.90|29874.10||1.80|345864.35|-95208.60||172.40|335.00|59.70|49047.50|39302.60||0.20|468303.65|-104778.00||120.30|338.50|75.90|3542.00|3417.90|0.00|3128.20|22.70|3406.60|3329.90|0.00|3032.00|1.30|3848.00|3770.70|0.00|3088.70|0.00|4041.00|3961.10|0.00|3274.90|0.00|4573.00|4409.60|61.00|3681.60|0.00|4618.20|4529.10|0.00|4151.30|0.00|5384.00|5232.30|136.30|4220.20|0.00|5500.00|5488.00|0.00|4439.80|0.00|6305.50|6067.70|8.70|5124.50|0.00|6230.80|6199.40|0.00|5184.20|0.00|7139.20|7046.80|64.20|5788.50|0.00|7666.80|7650.80|0.00|6323.40|0.00|8060.90|7904.80|0.00|6485.30|0.00|7818.60|7801.90|0.00|6580.20|0.00|8808.10|8348.90|417.40|7095.60|95.70|8804.90|8782.20|0.00|7269.10|0.30|9803.70|9624.70|126.30|7668.60|0.00|10149.30|10124.50|0.00|8029.10|0.00|11074.50|11002.20|0.00|8732.40|0.00|13544.20|12131.20|0.00|11409.30|0.00|13919.20|13318.40||10771.50|
Lanco Infratech Ltd.|42909|62057.50|93178.50|62674.30|57072.30|24.80|6.80|77618.00|804.80|||3989.00|9.20|61343.00|61971.30|10.40|57.90|125587.10|37167.40|||5661.90|122.40||||||952.30|939.10||754.30||1004.30|1004.30||903.20||1375.30|1256.00||1126.90||2202.10|2120.60||2214.00||1568.50|1520.10||2058.40||3885.50|3794.00||3789.40||3892.90|3821.50||2581.80||6689.50|6618.80||6138.30||5371.30|5338.70||5107.10||6428.60|6388.00||6886.70||10517.90|10471.30||11122.20||18658.70|18600.90||17977.40||14866.90|14516.60||13696.70||14840.00|14749.20||12548.50||13307.90|13207.40||14095.60||16975.80|16821.70||14047.80||10912.50|10765.70||11136.60||11562.60|10968.80||12933.00||20393.50|20205.80||18027.30||16360.80|16147.30||17760.80|
Larsen & Toubro Ltd.|42209|376771.60|483715.50|396393.70|348616.60|988.00|216.10|430004.15|53829.10|859.80|583.90|54915.60|409.70|459526.50|425279.70|2143.10||538943.35|37292.90|682.60|784.70|66441.90|751.30|47905.50|46169.80|80.90|43146.10||35419.40|34761.10||33788.50||38565.20|37304.80||37064.70||42244.90|41156.90||40177.10||64662.60|62448.20||56195.00||47154.70|45040.00||45131.40||56145.10|55020.90||54322.50||65394.10|63879.90||62186.90||88244.40|85555.90||81025.00||71032.60|69418.70||68108.70||78578.70|77250.70||74511.90||98406.50|86562.40|9163.30|82302.50||108405.40|106053.10||97734.60|1438.70|86529.30|74082.90||67936.80||81603.50|79212.10||74973.20||84418.00|81456.10|625.50|76995.00||140156.30|135851.00|1006.90|124817.00||80468.20|78311.90||76754.10||98730.50|94221.60|708.40|92056.50||116818.20|113957.60|353.00|109996.60||158451.20|152611.70||141408.40|
Lupin Ltd.|21002|33915.30|45934.60|37529.40|31020.30|8.90|74.20|39924.95|5148.00|3570.10||11913.90|22.30|45563.40|37468.70|30.00|92.60|50617.25|4390.00|4834.20||13546.30|150.40|4630.20|4220.00|0.00|4176.70|0.00|4951.60|4688.60|0.00|4416.40|0.00|5120.90|4910.70|0.00|4765.90|0.00|5112.00|4929.40|0.00|4704.90|0.00|6464.00|5180.60|0.00|5166.60|0.00|6168.90|6017.50|0.00|5765.00|0.00|7319.30|7284.40|0.00|6566.50|0.00|7470.50|7436.60|0.00|6225.70|0.00|6452.40|6415.20|0.00|6261.80|0.00|7312.30|7124.20|0.00|6329.90|0.00|7724.40|7714.70|0.00|7069.40|0.00|7422.20|7419.70|0.00|6675.70|0.00|7315.40|7247.40|64.70|5784.20|0.00|9196.20|9184.40|0.00|7451.60|0.00|8460.90|8441.80|0.00|6719.80|0.00|10117.20|10115.50|0.00|8057.50|0.00|9370.20|9343.40|18.40|8406.50|0.00|10096.90|10093.60|0.00|8346.40|0.00|10738.90|10730.90|0.00|9538.10|0.00|12064.20|12054.40|0.00|9470.70|0.00|12233.30|12192.20|0.00|9683.40|0.00
M R F Ltd.|22119|27706.30|40116.00|81188.10|79231.90|19.10||33911.15|1860.50|172.80|852.30|13289.10|51.10|110750.70|107873.90|108.40||51814.45|6336.90|205.10|1019.50|19713.80|38.10|8807.60|8796.00|0.00|8761.20|0.00|9993.30|9947.70|0.00|9314.20|0.00|10898.10|10473.00|364.10|10328.10|0.00|10616.10|10578.30|0.00|10488.00|0.00|10871.50|10835.20|0.00|10784.70|0.00|11375.00|11334.30|0.00|10660.80|0.00|11444.60|11362.20|0.00|11290.20|0.00|11608.80|11555.70|0.00|10676.70|0.00|12202.40|12148.30|0.00|11318.90|0.00|12794.10|12743.70|0.00|13381.30|0.00|14226.40|14021.40|0.00|14925.10|0.00|13730.60|13519.70|170.30|14444.30|0.00|14102.10|14058.20|0.00|11895.10|0.00|14470.00|14382.10|0.00|12264.30|0.00|14679.30|14768.40|-170.30|13642.10|0.00|16623.40|16563.00|0.00|15674.60|0.00|17773.70|17737.10|0.00|17051.50|0.00|19363.30|19254.00|0.00|19102.70|0.00|21058.10|21083.30|0.00|20895.10|0.00|21683.10|21665.30|0.00|21196.20|198.80|23994.00|23837.90|0.00|24098.50|250.10
